iter	Passed	Remaining
0	1	175
1	3	157
2	4	156
3	5	143
4	7	145
5	9	145
6	11	154
7	13	152
8	14	148
9	16	150
10	22	182
11	24	178
12	26	176
13	28	172
14	29	167
15	31	163
16	32	160
17	34	156
18	36	155
19	37	151
20	39	148
21	42	149
22	44	150
23	45	145
24	46	140
25	48	136
26	49	132
27	50	129
28	51	125
29	53	124
30	54	121
31	56	120
32	57	116
33	58	113
34	59	110
35	60	107
36	61	104
37	62	101
38	63	99
39	64	96
40	65	94
41	65	90
42	66	88
43	68	87
44	69	85
45	70	83
46	71	80
47	72	78
48	73	76
49	75	75
50	76	73
51	77	71
52	78	69
53	79	67
54	79	65
55	81	63
56	82	62
57	84	60
58	85	59
59	86	57
60	88	56
61	89	54
62	90	53
63	92	51
64	93	50
65	94	48
66	98	48
67	99	47
68	101	45
69	103	44
70	104	42
71	105	40
72	106	39
73	107	37
74	108	36
75	109	34
76	110	32
77	111	31
78	112	30
79	114	28
80	115	27
81	116	25
82	117	24
83	118	22
84	119	21
85	121	19
86	122	18
87	123	16
88	124	15
89	126	14
90	127	12
91	128	11
92	129	9
93	130	8
94	131	6
95	132	5
96	133	4
97	134	2
98	135	1
99	137	0
