iter	Passed	Remaining
0	143	143298
1	145	72611
2	146	48760
3	148	36995
4	149	29795
5	150	25002
6	152	21570
7	153	18993
8	154	16972
9	155	15353
10	156	14045
11	158	13080
12	160	12151
13	162	11432
14	163	10734
15	164	10119
16	166	9602
17	167	9117
18	168	8689
19	169	8318
20	171	7974
21	173	7694
22	174	7400
23	175	7145
24	176	6900
25	177	6667
26	179	6452
27	180	6263
28	181	6078
29	182	5901
30	183	5741
31	186	5644
32	188	5527
33	189	5388
34	190	5256
35	191	5136
36	192	5019
37	193	4907
38	194	4802
39	195	4701
40	196	4606
41	198	4517
42	199	4446
43	202	4398
44	203	4323
45	204	4248
46	205	4175
47	206	4105
48	208	4037
49	209	3975
50	210	3913
51	211	3854
52	212	3798
53	214	3763
54	216	3725
55	217	3673
56	218	3621
57	220	3576
58	221	3527
59	222	3483
60	223	3439
61	224	3395
62	225	3354
63	226	3316
64	228	3293
65	230	3265
66	231	3229
67	233	3193
68	234	3161
69	235	3130
70	236	3096
71	237	3064
72	238	3033
73	239	3002
74	241	2972
75	244	2968
76	245	2940
77	246	2911
78	247	2883
79	248	2857
80	249	2830
81	250	2804
82	251	2774
83	252	2751
84	253	2728
85	254	2706
86	255	2684
87	258	2674
88	259	2655
89	260	2633
90	261	2611
91	262	2589
92	263	2569
93	264	2548
94	265	2528
95	266	2509
96	267	2489
97	268	2469
98	269	2451
99	270	2436
100	273	2430
101	274	2414
102	275	2397
103	276	2379
104	277	2364
105	278	2347
106	279	2331
107	280	2316
108	281	2301
109	282	2287
110	283	2273
111	285	2260
112	288	2261
113	289	2247
114	290	2234
115	291	2221
116	292	2208
117	293	2194
118	294	2180
119	295	2168
120	296	2155
121	297	2141
122	298	2130
123	299	2118
124	302	2116
125	303	2107
126	304	2094
127	305	2083
128	306	2072
129	307	2060
130	308	2048
131	309	2037
132	311	2028
133	312	2018
134	313	2008
135	314	1998
136	317	1999
137	319	1993
138	320	1983
139	321	1972
140	322	1963
141	322	1951
142	324	1941
143	325	1934
144	326	1925
145	327	1917
146	328	1908
147	330	1899
148	332	1899
149	333	1892
150	335	1884
151	336	1875
152	337	1867
153	338	1859
154	339	1853
155	341	1848
156	342	1839
157	343	1832
158	345	1826
159	354	1860
160	355	1850
161	356	1842
162	357	1834
